Name,Team,Pos,,"Name, Team, CF",,,CF,"Name, Team, P "
Alonzo Haulbrook,MFL,1B,MFL,"Alonzo Haulbrook, MFL, P ",,,P ,"Alonzo Haulbrook, MFL, RF"
Lefty Garner,BLD,2B,BLD,"Lefty Garner, BLD, CF",3B,,CF,"Lefty Garner, BLD, 3B"
Burnis Wright,WEG,3B,WEG,"Burnis Wright, WEG, 1B",,,1B,"Burnis Wright, WEG, P "
John Hyder,"SNH,AKR",SS,SNH,"John Hyder, SNH, 3B",,,3B,"John Hyder, SNH, RF"
Charles Harig,"SMF,NFK",LF,SMF,"Charles Harig, SMF, CF",,,CF,"Charles Harig, SMF, SS"
John Grilli,BKV,CF,BKV,"John Grilli, BKV, 3B",,,3B,"John Grilli, BKV, CF"
Joe Petrick,WLH,RF,WLH,"Joe Petrick, WLH, SS",,,SS,"Joe Petrick, WLH, 3B"
William Hoskins,"DS,CAG,SLS",P ,"DS,","William Hoskins, DS,, SS",,,SS,"William Hoskins, DS, 2B"
Nat Hickey,WLM,C ,WLM,"Nat Hickey, WLM, RF",,,RF,"Nat Hickey, WLM, 2B"
Clyde Thomas,WNK,,WNK,"Clyde Thomas, WNK, SS",,,SS,"Clyde Thomas, WNK, P "
Charles Russian,BUT,,BUT,"Charles Russian, BUT, 1B",,,1B,"Charles Russian, BUT, C "
Jack Atkinson,WNK,,WNK,"Jack Atkinson, WNK, P ",,,P ,"Jack Atkinson, WNK, 1B"
Riley Parker,OSW,,OSW,"Riley Parker, OSW, 2B",,,2B,"Riley Parker, OSW, C "
Stanley Arnzen,WLH,,WLH,"Stanley Arnzen, WLH, RF",,,RF,"Stanley Arnzen, WLH, 1B"
William Carrier,LXG,,LXG,"William Carrier, LXG, RF",,,RF,"William Carrier, LXG, SS"
Al Leary,JMS,,JMS,"Al Leary, JMS, RF",,,RF,"Al Leary, JMS, 3B"
Guido Panciera,"SYD,BVR,ZAN",,SYD,"Guido Panciera, SYD, 2B",,,2B,"Guido Panciera, SYD, SS"
Tom Phillips,SBO,,SBO,"Tom Phillips, SBO, 2B",,,2B,"Tom Phillips, SBO, CF"
Arnold Evans,"NEO,LXN",,NEO,"Arnold Evans, NEO, 3B",,,3B,"Arnold Evans, NEO, 2B"
Paul Bruno,ABB,,ABB,"Paul Bruno, ABB, LF",,,LF,"Paul Bruno, ABB, LF"
Earl Martin,"BEC,SCR",,BEC,"Earl Martin, BEC, SS",,,SS,"Earl Martin, BEC, LF"
Dewey Stover,MFL,,MFL,"Dewey Stover, MFL, SS",,,SS,"Dewey Stover, MFL, SS"
Marion Coltrin,BBE,,BBE,"Marion Coltrin, BBE, C ",,,C ,"Marion Coltrin, BBE, C "
Enos Slaughter,CLB,,CLB,"Enos Slaughter, CLB, P ",,,P ,"Enos Slaughter, CLB, P "
Harwood McKain,FBY,,FBY,"Harwood McKain, FBY, LF",,,LF,"Harwood McKain, FBY, 3B"
Alfred Joyner,AYD,,AYD,"Alfred Joyner, AYD, SS",,,SS,"Alfred Joyner, AYD, 1B"
Pat Mullin,"LKC,BMT",,LKC,"Pat Mullin, LKC, RF",,,RF,"Pat Mullin, LKC, C "
Johnny Barrett,MFL,,MFL,"Johnny Barrett, MFL, 3B",,,3B,"Johnny Barrett, MFL, P "
Hobe Brummette,ELZ,,ELZ,"Hobe Brummette, ELZ, RF",,,RF,"Hobe Brummette, ELZ, SS"
Skeeter Scalzi,SPL,,SPL,"Skeeter Scalzi, SPL, 3B",,,3B,"Skeeter Scalzi, SPL, LF"
Roy Hutson,SPO,,SPO,"Roy Hutson, SPO, 1B",,,1B,"Roy Hutson, SPO, CF"
H. Hurst,GLV,,GLV,"H. Hurst, GLV, CF",,,CF,"H. Hurst, GLV, 2B"
August Navarro,ROG,,ROG,"August Navarro, ROG, LF",,,LF,"August Navarro, ROG, SS"
Paul Fugit,FYT,,FYT,"Paul Fugit, FYT, LF",,,LF,"Paul Fugit, FYT, 1B"
Dick Lang,ABQ,,ABQ,"Dick Lang, ABQ, LF",,,LF,"Dick Lang, ABQ, P "
Ray Dandridge,"NE,HG",,"NE,","Ray Dandridge, NE,, 3B",,,3B,"Ray Dandridge, NE, 2B"
Robert Hood,WNK,,WNK,"Robert Hood, WNK, RF",,,RF,"Robert Hood, WNK, 1B"
Lee Riley,BEA,,BEA,"Lee Riley, BEA, P ",,,P ,"Lee Riley, BEA, P "
Aaron Robinson,SNH,,SNH,"Aaron Robinson, SNH, LF",,,LF,"Aaron Robinson, SNH, LF"
Edward Guynes,WNK,,WNK,"Edward Guynes, WNK, CF",,,CF,"Edward Guynes, WNK, CF"
Homer Peel,FTW,,FTW,"Homer Peel, FTW, 3B",,,3B,"Homer Peel, FTW, 2B"
Eddie Silber,JHN,,JHN,"Eddie Silber, JHN, P ",,,P ,"Eddie Silber, JHN, C "
Chappie Geygan,SKY,,SKY,"Chappie Geygan, SKY, P ",,,P ,"Chappie Geygan, SKY, CF"
W. Riddle,HOB,,HOB,"W. Riddle, HOB, P ",,,P ,"W. Riddle, HOB, LF"
Albert Tolles,JBO,,JBO,"Albert Tolles, JBO, SS",,,SS,"Albert Tolles, JBO, LF"
Maurice Van Robays,OGB,,OGB,"Maurice Van Robays, OGB, 2B",,,2B,"Maurice Van Robays, OGB, RF"
Jeff Heath,MLW,,MLW,"Jeff Heath, MLW, P ",,,P ,"Jeff Heath, MLW, P "
John Spartichino,MFL,,MFL,"John Spartichino, MFL, CF",,,CF,"John Spartichino, MFL, 2B"
Robert Stroner,ABQ,,ABQ,"Robert Stroner, ABQ, 2B",,,2B,"Robert Stroner, ABQ, 3B"
Henry Gagain,"HUN,BVR,LFY",,HUN,"Henry Gagain, HUN, 3B",,,3B,"Henry Gagain, HUN, 3B"
Muscle Shoals,MEN,,MEN,"Muscle Shoals, MEN, 2B",,,2B,"Muscle Shoals, MEN, LF"
James Guyman,MIT,,MIT,"James Guyman, MIT, LF",,,LF,"James Guyman, MIT, 2B"
J. Sanders,PKA,,PKA,"J. Sanders, PKA, RF",,,RF,"J. Sanders, PKA, 2B"
William Homan,"SMF,AUG,NFK",,SMF,"William Homan, SMF, LF",,,LF,"William Homan, SMF, CF"
Seaborn Joiner,MHN,,MHN,"Seaborn Joiner, MHN, 1B",,,1B,"Seaborn Joiner, MHN, 2B"
Pid Purdy,BEA,,BEA,"Pid Purdy, BEA, C ",,,C ,"Pid Purdy, BEA, LF"
Jack Rager,LDS,,LDS,"Jack Rager, LDS, 3B",,,3B,"Jack Rager, LDS, C "
Earl Cartwright,MHN,,MHN,"Earl Cartwright, MHN, LF",,,LF,"Earl Cartwright, MHN, LF"
Claude Corbitt,"PKA,AKR",,PKA,"Claude Corbitt, PKA, RF",,,RF,"Claude Corbitt, PKA, 1B"
