Alfred Lunt, The Actor, The Guardsman
Charles Laughton, King Henry VIII of England, The Private Life of Henry VIII
Leslie Howard, Peter Standish, Berkeley Square
Paul Muni, James Allen, I Am a Fugitive from a Chain Gang
Clark Gable, Peter Warne, It Happened One Night
Frank Morgan, Alessandro Duke of Florence, The Affairs of Cellini
William Powell, Nick Charles, The Thin Man
Victor McLaglen, Gypo Nolan, The Informer
Clark Gable, Lieutenant Fletcher Christian, Mutiny on the Bounty
Charles Laughton, Captain William Bligh, Mutiny on the Bounty
Paul Muni [D], Joe Radek, Black Fury
Franchot Tone, Midshipman Roger Byam, Mutiny on the Bounty
Paul Muni, Louis Pasteur, The Story of Louis Pasteur
Gary Cooper, Longfellow Deeds, Mr. Deeds Goes to Town
Walter Huston, Sam Dodsworth, Dodsworth
William Powell, Godfrey Park, My Man Godfrey
Spencer Tracy, Father Tim Mullin, San Francisco
Spencer Tracy, Manuel Fidello, Captains Courageous
Charles Boyer, Emperor Napoleon Bonaparte, Conquest
Fredric March, Norman Maine, A Star Is Born
Robert Montgomery, Danny, Night Must Fall
Paul Muni, Émile Zola, The Life of Emile Zola
Spencer Tracy, Father Flanagan, Boys Town
Charles Boyer, Pepe le Moko, Algiers
James Cagney, Rocky Sullivan, Angels with Dirty Faces
Robert Donat, Dr. Andrew Manson, The Citadel
Leslie Howard, Professor Henry Higgins, Pygmalion
Robert Donat, Charles Edward Chipping, Goodbye, Mr. Chips
Clark Gable, Rhett Butler, Gone with the Wind
Laurence Olivier, Heathcliff, Wuthering Heights
Mickey Rooney, Mickey Moran, Babes in Arms
James Stewart, Jefferson Smith, Mr. Smith Goes to Washington
James Stewart, Macaulay "Mike" Connor, The Philadelphia Story
Charlie Chaplin, Adenoid Hynkel / The Barber, The Great Dictator
Henry Fonda, Tom Joad, The Grapes of Wrath
Raymond Massey, Abraham Lincoln, Abe Lincoln in Illinois
Laurence Olivier, Maximilian "Maxim" de Winter, Rebecca
Gary Cooper, Sgt. Alvin York, Sergeant York
Cary Grant, Roger Adams, Penny Serenade
Walter Huston, Mr. Scratch, The Devil and Daniel Webster
Robert Montgomery, Joe Pendleton, Here Comes Mr. Jordan
Orson Welles, Charles Foster Kane, Citizen Kane
James Cagney, George M. Cohan, Yankee Doodle Dandy
Ronald Colman, Charles Rainier, Random Harvest
Gary Cooper, Lou Gehrig, The Pride of the Yankees
Walter Pidgeon, Clem Miniver, Mrs. Miniver
Monty Woolley, Howard, The Pied Piper
Paul Lukas, Kurt Muller, Watch on the Rhine
Humphrey Bogart, Rick Blaine, Casablanca
Gary Cooper, Robert Jordan, For Whom the Bell Tolls
Walter Pidgeon, Pierre Curie, Madame Curie
Mickey Rooney, Homer Macauley, The Human Comedy
Bing Crosby, Father Chuck O'Malley, Going My Way
Charles Boyer, Gregory Anton, Gaslight
Barry Fitzgerald, Father Fitzgibbon, Going My Way
Cary Grant, Ernie Mott, None but the Lonely Heart
Alexander Knox, Woodrow Wilson, Wilson
Ray Milland, Don Birnam, The Lost Weekend
Bing Crosby, Father Chuck O'Malley, The Bells of St. Mary's
Gene Kelly, Joseph Brady, Anchors Aweigh
Gregory Peck, Father Francis, The Keys of the Kingdom
Cornel Wilde, Frédéric Chopin, A Song to Remember
Fredric March, Al Stephenson, The Best Years of Our Lives
Laurence Olivier, King Henry V of England, Henry V
Larry Parks, Al Jolson, The Jolson Story
Gregory Peck, Ezra "Penny" Baxter, The Yearling
James Stewart, George Bailey, It's a Wonderful Life
Ronald Colman, Anthony John, A Double Life
John Garfield, Charlie Davis, Body and Soul
Gregory Peck, Philip Schuyler Green, Gentleman's Agreement
William Powell, Clarence Day, Sr., Life with Father
Michael Redgrave, Orin Mannon, Mourning Becomes Electra
Laurence Olivier, Hamlet, Prince of Denmark, Hamlet
Lew Ayres, Dr. Robert Richardson, Johnny Belinda
Montgomery Clift, Ralph "Steve" Stevenson, The Search
Dan Dailey, "Skid" Johnson, When My Baby Smiles at Me
Clifton Webb, Lynn Aloysius Belvedere, Sitting Pretty
Broderick Crawford, Willie Stark, All the King's Men
Kirk Douglas, Michael "Midge" Kelly, Champion
Gregory Peck, Brig. General Frank Savage, Twelve O'Clock High
Richard Todd, Cpl. Lachlan "Lachie" MacLachlan, The Hasty Heart
John Wayne, Sergeant John M. Stryker, Sands of Iwo Jima
Jose Ferrer, Cyrano de Bergerac, Cyrano de Bergerac
Louis Calhern, Oliver Wendell Holmes, The Magnificent Yankee
William Holden, Joe Gillis, Sunset Boulevard
James Stewart, Elwood P. Dowd, Harvey
Spencer Tracy, Stanley T. Banks, Father of the Bride
Humphrey Bogart, Charlie Allnut, The African Queen
Marlon Brando, Stanley Kowalski, A Streetcar Named Desire
Montgomery Clift, George Eastman, A Place in the Sun
Arthur Kennedy, Larry Nevins, Bright Victory
Fredric March, Willy Loman, Death of a Salesman
Gary Cooper, Marshal Will Kane, High Noon
Marlon Brando, Emiliano Zapata, Viva Zapata!
Kirk Douglas, Jonathan Shields, The Bad and the Beautiful
José Ferrer, Henri de Toulouse-LautrecComte Alphonse de Toulouse-Lautrec, Moulin Rouge
Alec Guinness, Holland, The Lavender Hill Mob
William Holden, Sgt. J.J. Sefton, Stalag 17
Marlon Brando, Mark Antony, Julius Caesar
Richard Burton, Marcellus Gallio, The Robe
Montgomery Clift, Pvt. Robert E. Lee "Prew" Prewitt, From Here to Eternity
Burt Lancaster, 1st Sgt. Milton Warden, From Here to Eternity
Marlon Brando, Terry Malloy, On the Waterfront
Humphrey Bogart, Lt. Cmdr. Philip Francis Queeg, The Caine Mutiny
Bing Crosby, Frank Elgin, The Country Girl
James Mason, Norman Maine, A Star Is Born
Dan O'Herlihy, Robinson Crusoe, Robinson Crusoe
Ernest Borgnine, Marty Piletti, Marty
James Cagney, Martin Snyder, Love Me or Leave Me
James Dean *[38], Cal Trask, East of Eden
Frank Sinatra, Frankie Machine, The Man with the Golden Arm
Spencer Tracy, John J. Macreedy, Bad Day at Black Rock
Yul Brynner, King Mongkut of Siam, The King and I
James Dean *[38], Jett Rink, Giant
Kirk Douglas, Vincent van Gogh, Lust for Life
Rock Hudson, Jordan "Bick" Benedict Jr., Giant
Laurence Olivier, King Richard III of England, Richard III
Alec Guinness, Lt. Colonel L. Nicholson, D.S.O., The Bridge on the River Kwai
Marlon Brando, Major Lloyd "Ace" Gruver, USAF, Sayonara
Anthony Franciosa, Polo Pope, A Hatful of Rain
Charles Laughton, Sir Wilfrid Robarts, Witness for the Prosecution
