Alonzo Haulbrook
Lefty Garner
Burnis Wright
John Hyder
Charles Harig
John Grilli
Joe Petrick
William Hoskins
Nat Hickey
Clyde Thomas
Charles Russian
Jack Atkinson
Riley Parker
Stanley Arnzen
William Carrier
Al Leary
Guido Panciera
Tom Phillips
Arnold Evans
Paul Bruno
Earl Martin
Dewey Stover
Marion Coltrin
Enos Slaughter
Harwood McKain
Alfred Joyner
Pat Mullin
Johnny Barrett
Hobe Brummette
Skeeter Scalzi
Roy Hutson
H. Hurst
August Navarro
Paul Fugit
Dick Lang
Ray Dandridge
Robert Hood
Lee Riley
Aaron Robinson
Edward Guynes
Homer Peel
Eddie Silber
Chappie Geygan
W. Riddle
Albert Tolles
Maurice Van Robays
Jeff Heath
John Spartichino
Robert Stroner
Henry Gagain
Muscle Shoals
James Guyman
J. Sanders
William Homan
Seaborn Joiner
Pid Purdy
Jack Rager
Earl Cartwright
Claude Corbitt
Gerald Ward
James Williams
Joseph Davis
Ernest Potocar
John Benson
Pat Patterson
Johnny Rizzo
Adolph Sperl
Tommie West
Douglas Wheeler
Paul Badgett
Max Macon
Jesse Newman
Billy Johnson
Coaker Triplett
Bill Kats
Stanley Miller
Carl Reynolds
Stan Sperry
Chester Wieczorek
Archie Allen
Danny Carnevale
Bobby Goff
Dutch Mele
George Staller
Charlie Keller
Wes Schulmerich
Andy Gilbert
Roy Mikus
Lou Novikoff
Cecil Payne
Charlie Small
Henry Bonetti
Jack Grantham
Al Signaigo
Tom Corbett
Norman James
Benny Borgmann
Ray Helixon
Babe Herman
Jesse Landrum
Bill Stumpf
Otis Lawry
Graham
Jack Hurley
Harry Harper
George McCarl
Nap Lajoie
Norm Glockson
Ira Flagstead
Frank Walker
Jake Pitler
Ted Kimbro
Ross Youngs
Turner Barber
Blainey Hall
Elmer Leifer
Blackburn
Ed McBane
Tom Daly
Jack Bentley
Pelayo Chacon
Morrie Rath
Kane
George Whiteman
Stump Edington
Owen Quinn
Del Bemis
Rath
Doc Wiley
Howie Camp
Ham Hyatt
Harry Smith
Eddie Bogart
Crane
Earl Smith
Earl Smith
Jack Tobin
Bud Weiser
Jake Munch
Joe Ward
Sykes
Bernie Duffy
Arthur Hartle
Charles Dysert
Bing Miller
Mike Fitzgerald
Beals Becker
Albert Bernsen
Dave Altizer
Sammy Vick
Anderson
Hank Butcher
W. Collins
Crouch
Bud Davis
Pete Knisely
Lu Blue
Ray Demmitt
Guy Dunning
Frank O'Rourke
Charles Reinhardt
Jack Roche
Buddy Ryan
Tex Jones
Jay Kirke
Ray Brubaker
Douglas Harbison
Roy Moran
George Block
Jim Viox
William Daniels
Bill Kay
Bill Leard
Biff Schaller
Leo Callahan
Charlie Jackson
Wickey McAvoy
Ben Shaw
Victor St. Martin
Ken Williams
Mariott
Marty O'Toole
Arnold Sheldon
Clemons
Bill Hobbs
Clarence Kraft
Irish Meusel
Ramiro Ramirez
Clay Schoonover
Charles Babbington
Snipe Conley
Butch Kern
Toots Shultz
Mack Wheat
Rip Conway
George Anderson
Tom Connolly
Arthur Durgin
Dave Hillyard
Roy Keener
Roberto Fernandez
Manuel Magallon
Don Stafford
Marv Williams
Robert Hertel
Butch McCord
John Radulovich
Bill Lynn
Charles Buck
Jack Cade
Burro Hernandez
Bob Van Eman
Richard Steinhauer
Buck Frierson
Joe Bauman
Thomas Leonard
Walter Sessi
Wesley Gibson
Howard Jennings
Orville Kitts
Howard Weeks
Art Lilly
Humberto Baez
Victor Canales
Tex Sanner
Pete Hughes
Gill Daley
John Roseboro
Ray Taylor
John Tayoan
Harry Walker
William Harrell
Rance Pless
John Smith
James Beavers
Jim Eldridge
Tony Ponce
Donald Stokes
Rudolph Briner
Charley Ridgeway
Bruce Barmes
William Greer
Al Pinkston
Jake Moore
Leonel Aldama
Leonard Cross
Andy Gilbert
Red Treadway
Jack Dittmer
Ev Hall
Gray Hampton
John Lybrand
Cliff Pemberton
Dino Restelli
Albert Richardson
