Abraham Baldwin Agricultural College B (1908) (s),"Tifton, Georgia",Stallions,,,,Abraham Baldwin Agricultural College Stallions,Abraham Baldwin Agricultural College
Adams State University D (1921) (s),"Alamosa, Colorado",Grizzlies,Rocky Mountain Athletic Conf.,,,Adams State University Grizzlies,Adams State University
Alabama A&M University D (1875) (s),"Normal, Alabama",Bulldogs & Lady Bulldogs,Southwestern Athletic Conf.,,,Alabama A&M University Bulldogs & Lady Bulldogs,Alabama A&M University
Alabama State University D (1867) (s),"Montgomery, Alabama",Hornets & Lady Hornets,Southwestern Athletic Conf.,,,Alabama State University Hornets & Lady Hornets,Alabama State University
Albany State University G (1903) (s),"Albany, Georgia",Golden Rams,Southern Intercoll. Athl. Conf.,,,Albany State University Golden Rams,Albany State University
Alcorn State University G (1871) (s),"Lorman, Mississippi",Braves & Lady Braves,Southwestern Athletic Conf.,,,Alcorn State University Braves & Lady Braves,Alcorn State University
Alfred State College B (1908) (s),"Alfred, New York",Pioneers & Lady Pioneers,Independent (NCAA Div-III),,,Alfred State College Pioneers & Lady Pioneers,Alfred State College
Angelo State University D (1928) (s),"San Angelo, Texas",Rams & Rambelles,Lone Star Conference,,,Angelo State University Rams & Rambelles,Angelo State University
Appalachian State University D (1899) (s),"Boone, North Carolina",Mountaineers,Sun Belt Conference,,,Appalachian State University Mountaineers,Appalachian State University
Arizona State University R1 (1909) (s),"Tempe, Arizona",Sun Devils,"Pac-12 Conference
 & Mountain Pacific Sports Fed.",,,Arizona State University  Sun Devils,Arizona State University 
Arkansas State University D (1909) (s),"Jonesboro, Arkansas",Red Wolves,Sun Belt Conference,,,Arkansas State University Red Wolves,Arkansas State University
Arkansas Tech University D (1909) (s),"Russellville, Arkansas",Wonder Boys & Golden Suns,Great American Conf.,,,Arkansas Tech University Wonder Boys & Golden Suns,Arkansas Tech University
Armstrong State University G (1935) (s),"Savannah, Georgia",Pirates,Merged with Georgia Southern,,,Armstrong State University Pirates,Armstrong State University
Auburn University D (1856) (s),"Auburn, Alabama",Tigers,Southeastern Conference,,,Auburn University Tigers,Auburn University
Auburn University Montgomery R2 (1967) (s),"Montgomery, Alabama",Warhawks,Gulf South Conference,,,Auburn University Montgomery  Warhawks,Auburn University Montgomery 
Augusta University R2 (1828) (s),"Augusta, Georgia",Jaguars,Peach Belt Conference,,,Augusta University  Jaguars,Augusta University 
Austin Peay State University G (1927) (s),"Clarksville, Tennessee",Governors & Lady Govs,Ohio Valley Conference,,,Austin Peay State University Governors & Lady Govs,Austin Peay State University
Ball State University R2 (1918) (s),"Muncie, Indiana",Cardinals,Mid-American Conference,,,Ball State University  Cardinals,Ball State University 
Baruch College D (1968) (s),"New York, New York",Bearcats,City Univ. of New York Athletic Conf.,,,Baruch College Bearcats,Baruch College
Bemidji State University G (1919) (s),"Bemidji, Minnesota",Beavers,Northern Sun Intercoll. Conf.,,,Bemidji State University Beavers,Bemidji State University
Binghamton University (SUNY) R2 (1946) (s),"Vestal, New York",Bearcats,America East Conference.,,,Binghamton Universi Bearcats,Binghamton Universi
Black Hills State University G (1883) (s),"Spearfish, South Dakota",Yellow Jackets,Rocky Mountain Athletic Conf.,,,Black Hills State University Yellow Jackets,Black Hills State University
Bloomsburg University of Penn. G (1839) (s),"Bloomsburg, Pennsylvania",Huskies,Pennsylvania State Athl. Conf.,,,Bloomsburg University of Penn. Huskies,Bloomsburg University of Penn.
Bluefield State College B (1895) (s),"Bluefield, West Virginia",Big Blues & Lady Blues,Independent (NCAA Div-II),,,Bluefield State College Big Blues & Lady Blues,Bluefield State College
Boise State University R3 (1932) (s),"Boise, Idaho",Broncos,Mountain West Conference,,,Boise State University  Broncos,Boise State University 
Bowie State University D (1865) (s),"Bowie, Maryland",Bulldogs & Lady Bulldogs,Central Intercoll. Athletic Assn.,,,Bowie State University Bulldogs & Lady Bulldogs,Bowie State University
Bowling Green State University R2 (1910) (s),"Bowling Green, Ohio",Falcons,Mid-American Conference,,,Bowling Green State University  Falcons,Bowling Green State University 
Bridgewater State University G (1840) (s),"Bridgewater, Massachusetts",Bears,Mass. State College Ath. Conf.,,,Bridgewater State University Bears,Bridgewater State University
Brooklyn College G (1930) (s),"New York, New York",Bridges,City Univ. of New York Athletic Conf.,,,Brooklyn College Bridges,Brooklyn College
Broward College B (1959) (s),"Fort Lauderdale, Florida",Seahawks,Southern Conference (NJCAA),,,Broward College Seahawks,Broward College
Buffalo State College G (1871) (s),"Buffalo, New York",Bengals,State Univ. of New York Athl. Conf.,,,Buffalo State College Bengals,Buffalo State College
California Maritime Academy G (1929) (s),"Vallejo, California",Keelhaulers,California Pacific Conf.,,,California Maritime Academy Keelhaulers,California Maritime Academy
California Polytechnic State University G (1901) (s),"San Luis Obispo, California",Mustangs,"Mountain Pacific Sports Fed.
 & Big West Conference",,,California Polytechnic State University Mustangs,California Polytechnic State University
California State Polytechnic University G (1938) (s),"Pomona, California",Broncos,Calif. Collegiate Athletic Assn.,,,California State Polytechnic University Broncos,California State Polytechnic University
"California State University, Bakersfield G (1965) (s)","Bakersfield, California",Roadrunners,Western Athletic Conference,,,"California State University, Bakersfield Roadrunners","California State University, Bakersfield"
"California State University, Chico G (1887) (s)","Chico, California",Wildcats,Calif. Collegiate Athletic Assn.,,,"California State University, Chico Wildcats","California State University, Chico"
"California State University, Dominguez Hi G (1960) (s)","Carson, California",Toros,Calif. Collegiate Athletic Assn.,,,"California State University, Dominguez Hi Toros","California State University, Dominguez Hi"
"California State University, East Bay D (1957) (s)","Hayward, California",Pioneers,Calif. Collegiate Athletic Assn.,,,"California State University, East Bay Pioneers","California State University, East Bay"
"California State University, Fresno R3 (1911) (s)","Fresno, California",Bulldogs,"Mountain West Conference
 & Mountain Pacific Sports Fed.",,,"California State University, Fresno  Bulldogs","California State University, Fresno "
"California State University, Fullerton R3 (1957) (s)","Fullerton, California",Titans,"Mountain Pacific Sports Fed.
 & Big West Conference",,,"California State University, Fullerton  Titans","California State University, Fullerton "
"California State University, Long Beach D (1949) (s)","Long Beach, California",49ers,"Mountain Pacific Sports Fed.
 & Big West Conference",,,"California State University, Long Beach 49ers","California State University, Long Beach"
"California State University, Los Angeles D (1947) (s)","Los Angeles, California",Golden Eagles,Calif. Collegiate Athletic Assn.,,,"California State University, Los Angeles Golden Eagles","California State University, Los Angeles"
"California State University, Monterey Bay G (1994) (s)","Seaside, California",Otters,Calif. Collegiate Athletic Assn.,,,"California State University, Monterey Bay Otters","California State University, Monterey Bay"
"California State University, Northridge D (1958) (s)","Northridge, California",Matadors & Lady Matadors,"Mountain Pacific Sports Fed.
 & Big West Conference",,,"California State University, Northridge Matadors & Lady Matadors","California State University, Northridge"
"California State University, Sacramento D (1947) (s)","Sacramento, California",Hornets,"Mountain Pacific Sports Fed.
 & Big Sky Conference",,,"California State University, Sacramento Hornets","California State University, Sacramento"
"California State University, San Bernardi D (1965) (s)","San Bernardino, California",Coyotes,Calif. Collegiate Athletic Assn.,,,"California State University, San Bernardi Coyotes","California State University, San Bernardi"
"California State University, San Marcos D (1989) (s)","San Marcos, California",Cougars,Calif. Collegiate Athletic Assn.,,,"California State University, San Marcos Cougars","California State University, San Marcos"
"California State University, Stanislaus D (1957) (s)","Turlock, California",Warriors,Calif. Collegiate Athletic Assn.,,,"California State University, Stanislaus Warriors","California State University, Stanislaus"
California University of Pennsylvania G (1852) (s),"California, Pennsylvania",Vulcans,Pennsylvania State Athl. Conf.,,,California University of Pennsylvania Vulcans,California University of Pennsylvania
Cameron University G (1908) (s),"Lawton, Oklahoma",Aggies,Lone Star Conference,,,Cameron University Aggies,Cameron University
Castleton University G (1787) (s),"Castleton, Vermont",Spartans,North Atlantic Conference,,,Castleton University Spartans,Castleton University
Central Connecticut State University D (1848) (s),"New Britain, Connecticut",Blue Devils,Northeast Conference,,,Central Connecticut State University Blue Devils,Central Connecticut State University
Central Michigan University R2 (1892) (s),"Mount Pleasant, Michigan",Chippewas,Mid-American Conference,,,Central Michigan University  Chippewas,Central Michigan University 
Central State University G (1887) (s),"Wilberforce, Ohio",Marauders & Lady Marauders,Southern Intercoll. Athl. Conf.,,,Central State University Marauders & Lady Marauders,Central State University
Central Washington University G (1891) (s),"Ellensburg, Washington",Wildcats,Great Northwest Athletic Conf.,,,Central Washington University Wildcats,Central Washington University
Chadron State College G (1911) (s),"Chadron, Nebraska",Eagles,Rocky Mountain Athletic Conf.,,,Chadron State College Eagles,Chadron State College
Cheyney University of Pennsylvania B (1837) (s),"Cheyney, Pennsylvania",Wolves,Pennsylvania State Athl. Conf.,,,Cheyney University of Pennsylvania Wolves,Cheyney University of Pennsylvania
Chicago State University G (1867) (s),"Chicago, Illinois",Cougars,Western Athletic Conference,,,Chicago State University Cougars,Chicago State University
Chipola College B (1947) (s),"Marianna, Florida",Indians,Panhandle Conference,,,Chipola College Indians,Chipola College
Christopher Newport University G (1961) (s),"Newport News, Virginia",Captains,Capital Athletic Conference,,,Christopher Newport University Captains,Christopher Newport University
City College of New York D (1847) (s),"New York, New York",Beavers,City Univ. of New York Athletic Conf.,,,City College of New York Beavers,City College of New York
Clarion University of Penn. G (1867) (s),"Clarion, Pennsylvania",Golden Eagles,Pennsylvania State Athl. Conf.,,,Clarion University of Penn. Golden Eagles,Clarion University of Penn.
Clayton State University D (1969) (s),"Morrow, Georgia",Lakers & Lady Lakers,Peach Belt Conference,,,Clayton State University Lakers & Lady Lakers,Clayton State University
Clemson University R1 (1889) (s),"Clemson, South Carolina",Tigers,Atlantic Coast Conference,,,Clemson University  Tigers,Clemson University 
Cleveland State University R2 (1964) (s),"Cleveland, Ohio",Vikings,Horizon League,,,Cleveland State University  Vikings,Cleveland State University 
Coastal Carolina University D (1954) (s),"Conway, South Carolina",Chanticleers & Lady Chants,Sun Belt Conference,,,Coastal Carolina University Chanticleers & Lady Chants,Coastal Carolina University
College of Central Florida G (1957) (s),"Ocala, Florida",Patriots,Mid-Florida Conference,,,College of Central Florida Patriots,College of Central Florida
College of Charleston G (1770) (s),"Charleston, South Carolina",Cougars,Colonial Athletic Association,,,College of Charleston Cougars,College of Charleston
College of Coastal Georgia B (1961) (s),"Brunswick, Georgia",Mariners,The Sun Conference,,,College of Coastal Georgia Mariners,College of Coastal Georgia
