Frank Borzage (Dramatic), 7th Heaven
Herbert Brenon (Dramatic), Sorrell and Son
King Vidor (Dramatic), The Crowd
Lewis Milestone (Comedy), Two Arabian Knights
Ted Wilde (Comedy), Speedy
Frank Lloyd, The Divine Lady
Lionel Barrymore, Madame X
Harry Beaumont, The Broadway Melody
Irving Cummings, In Old Arizona
Frank Lloyd, Drag
Frank Lloyd, Weary River
Ernst Lubitsch, The Patriot
Lewis Milestone, All Quiet on the Western Front
Clarence Brown, Anna Christie
Clarence Brown, Romance
Robert Z. Leonard, The Divorcee
Ernst Lubitsch, The Love Parade
King Vidor, Hallelujah!
Norman Taurog, Skippy
Clarence Brown, A Free Soul
Lewis Milestone, The Front Page
Wesley Ruggles, Cimarron
Josef von Sternberg, Morocco
Frank Borzage, Bad Girl
King Vidor, The Champ
Josef von Sternberg, Shanghai Express
Frank Lloyd, Cavalcade
Frank Capra, Lady for a Day
George Cukor, Little Women
Frank Capra, It Happened One Night
Victor Schertzinger, One Night of Love
W. S. Van Dyke, The Thin Man
John Ford, The Informer
Henry Hathaway, The Lives of a Bengal Lancer
Frank Lloyd, Mutiny on the Bounty
Frank Capra, Mr. Deeds Goes to Town
Gregory La Cava, My Man Godfrey
Robert Z. Leonard, The Great Ziegfeld
W. S. Van Dyke, San Francisco
William Wyler, Dodsworth
Leo McCarey, The Awful Truth
William Dieterle, The Life of Emile Zola
Sidney Franklin, The Good Earth
Gregory La Cava, Stage Door
William A. Wellman, A Star Is Born
Frank Capra, You Can't Take It with You
Michael Curtiz, Angels with Dirty Faces
Michael Curtiz, Four Daughters
Norman Taurog, Boys Town
King Vidor, The Citadel
Victor Fleming, Gone with the Wind
Frank Capra, Mr. Smith Goes to Washington
John Ford, Stagecoach
Sam Wood, Goodbye, Mr. Chips
William Wyler, Wuthering Heights
John Ford, The Grapes of Wrath
George Cukor, The Philadelphia Story
Alfred Hitchcock, Rebecca
Sam Wood, Kitty Foyle
William Wyler, The Letter
John Ford, How Green Was My Valley
Alexander Hall, Here Comes Mr. Jordan
Howard Hawks, Sergeant York
Orson Welles, Citizen Kane
William Wyler, The Little Foxes
William Wyler, Mrs. Miniver
Michael Curtiz, Yankee Doodle Dandy
